origin / session_media,date,total_users,sessions,engagement_rate,engaged_sessions,average_session_duration,session_conversion_rate,conversions,avarage_purchase_revenue,total_revenue
,,149355,221988,0.6174793232066598,137073,259.223496340712,0.009185181180964737,2139,388.969702914794,830839.285426,Total geral
google / cpc,20230728,319,366,0.6147540983606558,225,317.4838237377049,0.03825136612021858,15,275.87333333333333,4138.1
google / cpc,20230718,327,386,0.6373056994818653,246,280.30459629792745,0.03367875647668394,14,302.62285728571425,4236.720002
google / cpc,20230730,345,402,0.6144278606965174,247,323.0485278208955,0.03233830845771144,14,262.1071427142857,3669.499998
google / cpc,20230731,381,446,0.6434977578475336,287,286.75998116367714,0.03139013452914798,14,178.81428635714286,2503.400009
google / cpc,20231124,369,449,0.7282850779510023,327,424.6005998507796,0.031180400890868598,14,325.43571442857143,4556.100002
google / cpc,20231130,345,432,0.6481481481481481,280,365.3380973356481,0.02546296296296296,14,380.6157145,5328.620003
google / cpc,20230807,339,388,0.6391752577319587,248,259.5451069201031,0.028350515463917526,13,351.1553850769231,4565.020006
google / cpc,20231119,339,399,0.6766917293233082,270,279.5599802280702,0.03258145363408521,13,303.9899996923077,3951.869996
google / cpc,20231116,378,463,0.67170626349892,311,289.6231697019438,0.023758099352051837,12,512.4874999166667,6149.849999
google / cpc,20231115,316,377,0.6896551724137931,260,360.1238382387268,0.029177718832891247,11,381.87090909090904,4200.58
google / cpc,20231126,500,587,0.6252129471890971,367,297.9445722265758,0.018739352640545145,11,246.07818190909092,2706.860001
google / cpc,20230817,255,301,0.6644518272425249,200,327.2664216611296,0.023255813953488372,10,288.5549999,2885.549999
google / cpc,20231108,332,387,0.6821705426356589,264,305.1505973229974,0.025839793281653745,10,288.86200030000003,2888.620003
google / cpc,20231112,252,303,0.6732673267326733,204,349.2781830759076,0.033003300330033,10,480.85699980000004,4808.569998
google / cpc,20231120,410,491,0.6802443991853361,334,296.4022142382893,0.018329938900203666,10,314.85199939999995,3148.519994
google / cpc,20231123,371,460,0.691304347826087,318,423.1573704108696,0.01956521739130435,10,308.76100010000005,3087.610001
google / cpc,20231204,253,333,0.6366366366366366,212,322.6797055135135,0.03003003003003003,10,180.6319992,1806.319992
google / cpc,20231213,200,266,0.6654135338345865,177,417.27933743233086,0.03759398496240601,10,165.63299980000002,1656.329998
google / cpc,20230717,360,419,0.6443914081145584,270,254.32107150835324,0.021479713603818614,9,121.54999933333333,1093.949994
google / cpc,20230719,402,464,0.6788793103448276,315,253.79423676724136,0.017241379310344827,9,287.7961072222222,2590.164965
google / cpc,20230720,483,566,0.6148409893992933,348,238.30380150353358,0.015901060070671377,9,320.5600323333333,2885.040291
google / cpc,20230729,319,375,0.576,216,285.398259872,0.024,9,195.3298022222222,1757.96822
google / cpc,20230919,226,269,0.6691449814126395,180,347.0368580669145,0.03345724907063197,9,408.9133331111111,3680.219998
google / cpc,20231022,233,277,0.6173285198555957,171,301.1309217545126,0.032490974729241874,9,653.3100002222222,5879.790002
google / cpc,20231128,533,655,0.6412213740458015,420,339.7740829679389,0.013740458015267175,9,235.4522218888889,2119.069997
google / cpc,20231129,448,547,0.6380255941499086,349,312.9874819835466,0.016453382084095063,9,607.6366671111111,5468.730004
google / cpc,20231211,256,322,0.6708074534161491,216,355.38255770186333,0.027950310559006212,9,266.95222277777776,2402.570005
google / cpc,20231212,221,285,0.6736842105263158,192,475.5335632210527,0.031578947368421054,9,562.017778,5058.160002
google / cpc,20230328,252,308,0.6590909090909091,203,397.66933776948053,0.025974025974025976,8,189.673602125,1517.388817
google / cpc,20230605,222,267,0.6591760299625468,176,255.21283355056175,0.026217228464419477,8,554.494999375,4435.959995
google / cpc,20230721,559,641,0.5709828393135725,366,212.70597705304212,0.0124804992199688,8,236.095411875,1888.763295
google / cpc,20230801,360,444,0.5990990990990991,266,276.81561907882883,0.018018018018018018,8,430.217488,3441.739904
google / cpc,20230806,292,333,0.6066066066066066,202,224.65274748648648,0.024024024024024024,8,215.3525005,1722.820004
google / cpc,20230831,148,187,0.7486631016042781,140,377.52074721925135,0.0427807486631016,8,471.811250625,3774.490005
google / cpc,20230927,197,239,0.5564853556485355,133,360.631374251046,0.03347280334728033,8,715.886250125,5727.090001
google / cpc,20231012,196,223,0.6188340807174888,138,286.3324313228699,0.03587443946188341,8,706.2437495,5649.949996
google / cpc,20231102,233,270,0.6777777777777778,183,298.48482537037034,0.02962962962962963,8,200.15125025,1601.210002
google / cpc,20231117,305,370,0.6675675675675675,247,321.5456966378378,0.021621621621621623,8,234.902500625,1879.220005
google / cpc,20231118,368,432,0.5972222222222222,258,243.82776434953703,0.016203703703703703,8,239.175001125,1913.400009
google / cpc,20231210,247,301,0.6644518272425249,200,284.42743575083057,0.026578073089700997,8,295.115000125,2360.920001
(direct) / (none),20230807,96,114,0.5087719298245614,58,365.11102907017545,0.06140350877192982,7,293.5285715714286,2054.700001
google / cpc,20230316,228,277,0.6642599277978339,184,299.109879870036,0.021660649819494584,7,498.3776321428571,3488.643425
google / cpc,20230321,216,256,0.69140625,177,309.6743462187501,0.02734375,7,222.754356,1559.280492
google / cpc,20230330,207,266,0.6729323308270677,179,378.7710199511278,0.02631578947368421,7,221.4828572857143,1550.380001
google / cpc,20230410,263,304,0.6282894736842105,191,305.64690860526315,0.01644736842105263,7,193.36428514285714,1353.549996
google / cpc,20230503,416,488,0.4918032786885246,240,214.6495844897541,0.014344262295081968,7,344.855714,2413.989998
google / cpc,20230523,276,335,0.6537313432835821,219,246.92893200000003,0.01791044776119403,7,197.7789937142857,1384.452956
google / cpc,20230529,254,309,0.6699029126213593,207,330.8312025501618,0.022653721682847898,7,253.7571437142857,1776.300006
google / cpc,20230602,145,182,0.6483516483516484,118,444.46673640659344,0.03296703296703297,7,259.2242862857143,1814.570004
google / cpc,20230606,258,309,0.656957928802589,203,318.8473203495146,0.022653721682847898,7,152.58428614285714,1068.090003
google / cpc,20230712,231,275,0.6872727272727273,189,388.5419265381819,0.02181818181818182,7,346.70531928571427,2426.937235
google / cpc,20230722,524,602,0.579734219269103,349,220.25964733056475,0.011627906976744186,7,590.0426152857143,4130.298307
google / cpc,20230724,413,463,0.6328293736501079,293,240.5214890799136,0.01511879049676026,7,312.55428471428576,2187.879993
google / cpc,20230812,265,305,0.6327868852459017,193,258.6400441114754,0.022950819672131147,7,327.56857085714284,2292.979996
google / cpc,20230820,343,394,0.6446700507614214,254,295.92223137309645,0.017766497461928935,7,199.9385712857143,1399.569999
google / cpc,20230821,297,348,0.6350574712643678,221,227.9218759626437,0.020114942528735632,7,205.47000014285715,1438.290001
google / cpc,20231021,186,216,0.6435185185185185,139,277.79207188888887,0.032407407407407406,7,415.7299997142857,2910.109998
google / cpc,20231024,222,273,0.6446886446886447,176,294.6743256886447,0.02197802197802198,7,277.4271437142857,1941.990006
google / cpc,20231105,203,227,0.6343612334801763,144,318.6101982026432,0.02643171806167401,7,493.45142828571426,3454.159998
google / cpc,20231127,494,592,0.652027027027027,386,323.74913612162163,0.011824324324324325,7,306.472857,2145.309999
google / cpc,20231202,206,263,0.6045627376425855,159,230.06286401520916,0.022813688212927757,7,175.21142814285713,1226.479997
google / cpc,20231203,237,296,0.6351351351351351,188,431.29073806418916,0.02364864864864865,7,232.014286,1624.100002
(direct) / (none),20230823,104,113,0.4247787610619469,48,183.7291527522124,0.035398230088495575,6,281.9416673333333,1691.650004
(direct) / (none),20231116,76,89,0.48314606741573035,43,321.2288817078652,0.056179775280898875,6,266.5583325,1599.349995
google / cpc,20230324,168,211,0.6018957345971564,127,337.97363683886255,0.02843601895734597,6,551.3333328333334,3307.999997
google / cpc,20230327,258,336,0.6101190476190477,205,396.1040483035715,0.017857142857142856,6,468.658333,2811.949998
google / cpc,20230427,277,323,0.6439628482972136,208,368.5977174674923,0.018575851393188854,6,165.5116665,993.069999
google / cpc,20230514,179,212,0.6132075471698113,130,229.61439434905662,0.02830188679245283,6,223.09166683333333,1338.550001
google / cpc,20230613,299,343,0.6297376093294461,216,273.28641318950434,0.014577259475218658,6,565.1575541666666,3390.945325
google / cpc,20230615,265,306,0.6830065359477124,209,292.36648766993466,0.016339869281045753,6,408.866667,2453.200002
google / cpc,20230620,249,285,0.6807017543859649,194,254.41462505964915,0.017543859649122806,6,236.83999966666667,1421.039998
google / cpc,20230626,260,297,0.6531986531986532,194,287.7981139562289,0.016835016835016835,6,427.2983338333333,2563.790003
google / cpc,20230710,302,363,0.6556473829201102,238,325.31509782093667,0.01652892561983471,6,228.04499916666666,1368.269995
google / cpc,20230711,229,281,0.6476868327402135,182,300.96937798576516,0.017793594306049824,6,306.9099993333333,1841.459996
google / cpc,20230714,183,223,0.7174887892376681,160,418.38581739013455,0.026905829596412557,6,483.8683331666667,2903.209999
google / cpc,20230723,560,640,0.58125,372,185.13795182031248,0.0078125,6,174.01500016666665,1044.090001
google / cpc,20230726,310,358,0.6284916201117319,225,276.20881859497206,0.01675977653631285,6,273.6083343333333,1641.650006
